,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,Desc,Category,Sub-Category,SUMPRICE,COUNTPRICE,AVGPRICE,RELPRICE
117581,2009-09-30,367.0,1111085350,19.0,17.0,17.0,36.48,1.92,2.3,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.6878198567041965
117584,2009-09-30,367.0,1600027527,166.0,136.0,129.0,302.12,1.82,3.04,1.0,1.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.6519959058341863
117585,2009-09-30,367.0,1600027528,34.0,29.0,8.0,156.06,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,1.6443193449334699
117586,2009-09-30,367.0,1600027564,18.0,15.0,12.0,59.22,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,1.1786079836233367
117587,2009-09-30,367.0,3000006340,1.0,1.0,1.0,2.74,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,0.9815762538382805
117592,2009-09-30,367.0,3800031829,36.0,31.0,13.0,118.44,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.54,7,2.7914285714285714,1.1786079836233367
120825,2009-10-07,367.0,1111085319,7.0,7.0,7.0,13.23,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,0.65625
120827,2009-10-07,367.0,1111085350,20.0,17.0,17.0,39.0,1.95,2.3,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,0.6770833333333334
120830,2009-10-07,367.0,1600027527,10.0,10.0,10.0,29.6,2.96,2.96,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,1.027777777777778
120831,2009-10-07,367.0,1600027528,29.0,25.0,14.0,133.11,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,1.59375
120832,2009-10-07,367.0,1600027564,30.0,27.0,20.0,82.2,2.74,3.29,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,0.951388888888889
120834,2009-10-07,367.0,3000006340,9.0,8.0,5.0,24.66,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,0.951388888888889
120839,2009-10-07,367.0,3800031829,43.0,41.0,24.0,141.47,3.29,3.29,0.0,1.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.16,7,2.88,1.1423611111111112
124104,2009-10-14,367.0,1111085319,18.0,16.0,16.0,33.84,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,0.6245847176079733
124106,2009-10-14,367.0,1111085350,16.0,14.0,14.0,31.84,1.99,2.3,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,0.6611295681063123
124110,2009-10-14,367.0,1600027527,15.0,15.0,15.0,49.35,3.29,3.29,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,1.0930232558139534
124111,2009-10-14,367.0,1600027528,33.0,23.0,13.0,151.47,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,1.5249169435215946
124112,2009-10-14,367.0,1600027564,21.0,19.0,15.0,69.09,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,1.0930232558139534
124115,2009-10-14,367.0,3000006340,8.0,8.0,7.0,21.92,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,0.9102990033222591
124120,2009-10-14,367.0,3800031829,46.0,36.0,29.0,151.34,3.29,3.29,0.0,1.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,21.07,7,3.0100000000000002,1.0930232558139534
127429,2009-10-21,367.0,1111085319,5.0,5.0,5.0,9.25,1.85,1.85,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,0.6283357593401262
127431,2009-10-21,367.0,1111085350,12.0,12.0,12.0,28.68,2.39,2.39,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,0.8117418728772441
127435,2009-10-21,367.0,1600027527,9.0,9.0,8.0,29.61,3.29,3.29,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,1.1174187287724406
127436,2009-10-21,367.0,1600027528,32.0,24.0,9.0,146.88,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,1.5589519650655022
127437,2009-10-21,367.0,1600027564,66.0,47.0,43.0,162.36,2.46,3.29,1.0,1.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,0.8355167394468704
127439,2009-10-21,367.0,3000006340,6.0,5.0,4.0,16.44,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,0.9306162057253761
127444,2009-10-21,367.0,3800031829,22.0,19.0,10.0,72.38,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.61,7,2.9442857142857144,1.1174187287724406
130788,2009-10-28,367.0,1111085319,10.0,10.0,10.0,18.9,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,0.630901287553648
130790,2009-10-28,367.0,1111085350,11.0,10.0,10.0,26.29,2.39,2.39,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,0.7978063900810682
130794,2009-10-28,367.0,1600027527,20.0,18.0,18.0,59.0,2.95,3.29,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,0.9847401049117789
130795,2009-10-28,367.0,1600027528,17.0,13.0,7.0,78.03,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,1.5321888412017168
130796,2009-10-28,367.0,1600027564,19.0,17.0,13.0,59.28,3.12,3.12,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,1.0414878397711016
130798,2009-10-28,367.0,3000006340,6.0,6.0,4.0,16.44,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,0.9146399618502624
130803,2009-10-28,367.0,3800031829,37.0,33.0,16.0,121.73,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.97,7,2.9957142857142856,1.0982355746304244
134125,2009-11-04,367.0,1111085319,10.0,10.0,10.0,18.7,1.87,1.87,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,0.6203791469194312
134127,2009-11-04,367.0,1111085350,12.0,12.0,12.0,28.44,2.37,2.37,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,0.7862559241706161
134131,2009-11-04,367.0,1600027527,10.0,10.0,9.0,29.5,2.95,3.29,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,0.9786729857819905
134132,2009-11-04,367.0,1600027528,31.0,22.0,13.0,142.29,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,1.5227488151658766
134133,2009-11-04,367.0,1600027564,19.0,16.0,8.0,62.51,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,1.091469194312796
134134,2009-11-04,367.0,3000006340,4.0,4.0,2.0,10.96,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,0.9090047393364928
134139,2009-11-04,367.0,3800031829,31.0,28.0,13.0,101.99,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,21.1,7,3.0142857142857147,1.091469194312796
137473,2009-11-11,367.0,1111085319,22.0,20.0,19.0,41.36,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,0.6314779270633398
137475,2009-11-11,367.0,1111085350,22.0,22.0,21.0,51.48,2.34,2.34,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,0.7859884836852209
137478,2009-11-11,367.0,1600027527,21.0,21.0,21.0,61.95,2.95,3.29,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,0.990882917466411
137479,2009-11-11,367.0,1600027528,42.0,36.0,22.0,192.78,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,1.5417466410748564
137480,2009-11-11,367.0,1600027564,27.0,27.0,24.0,82.35,3.05,3.05,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,1.0244721689059504
137482,2009-11-11,367.0,3000006340,4.0,4.0,3.0,10.96,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,0.9203454894433785
137487,2009-11-11,367.0,3800031829,32.0,29.0,18.0,105.28,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.839999999999996,7,2.9771428571428564,1.1050863723608448
140841,2009-11-18,367.0,1111085319,20.0,20.0,20.0,32.0,1.6,1.88,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,0.5809128630705395
140843,2009-11-18,367.0,1111085350,19.0,19.0,18.0,44.27,2.33,2.33,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,0.8459543568464731
140847,2009-11-18,367.0,1600027527,103.0,74.0,72.0,247.2,2.4,3.29,1.0,1.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,0.8713692946058091
140848,2009-11-18,367.0,1600027528,23.0,18.0,12.0,105.57,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,1.66649377593361
140849,2009-11-18,367.0,1600027564,31.0,25.0,24.0,79.05,2.55,3.05,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,0.9258298755186722
140850,2009-11-18,367.0,3000006340,11.0,9.0,9.0,27.72,2.52,2.74,1.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,0.9149377593360997
140855,2009-11-18,367.0,3800031829,22.0,19.0,12.0,72.38,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.279999999999998,7,2.754285714285714,1.1945020746887969
144189,2009-11-25,367.0,1111085319,19.0,17.0,16.0,31.54,1.66,1.88,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,0.600516795865633
144191,2009-11-25,367.0,1111085350,11.0,9.0,8.0,25.85,2.35,2.35,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,0.8501291989664082
144195,2009-11-25,367.0,1600027527,12.0,11.0,11.0,32.4,2.7,3.29,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,0.9767441860465116
144196,2009-11-25,367.0,1600027528,20.0,15.0,6.0,91.8,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,1.6604651162790696
144197,2009-11-25,367.0,1600027564,20.0,18.0,17.0,49.8,2.49,3.05,1.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,0.9007751937984496
144198,2009-11-25,367.0,3000006340,3.0,3.0,2.0,7.98,2.66,2.66,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,0.9622739018087855
144202,2009-11-25,367.0,3800031829,7.0,6.0,6.0,20.3,2.9,3.29,1.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.35,7,2.7642857142857147,1.0490956072351418
147495,2009-12-02,367.0,1111085319,17.0,16.0,16.0,28.05,1.65,1.88,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,0.6050288108957569
147497,2009-12-02,367.0,1111085350,15.0,15.0,14.0,35.55,2.37,2.37,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,0.8690413829229963
147501,2009-12-02,367.0,1600027527,14.0,14.0,14.0,35.42,2.53,3.29,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,0.9277108433734939
147502,2009-12-02,367.0,1600027528,19.0,15.0,7.0,87.21,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,1.683080146673651
147503,2009-12-02,367.0,1600027564,37.0,30.0,27.0,83.99,2.27,3.05,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,0.8323729701414353
147505,2009-12-02,367.0,3000006340,5.0,5.0,3.0,13.7,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,1.004714510214772
147509,2009-12-02,367.0,3800031829,36.0,32.0,15.0,105.84,2.94,3.29,0.0,0.0,1.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.09,7,2.7271428571428573,1.078051335777894
150794,2009-12-09,367.0,1111085319,15.0,14.0,14.0,28.2,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,0.6435207823960881
150796,2009-12-09,367.0,1111085350,39.0,34.0,34.0,78.39,2.01,2.37,1.0,1.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,0.6880195599022005
150800,2009-12-09,367.0,1600027527,21.0,20.0,20.0,59.01,2.81,3.29,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,0.9618581907090467
150801,2009-12-09,367.0,1600027528,16.0,13.0,10.0,73.44,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,1.571149144254279
150802,2009-12-09,367.0,1600027564,21.0,20.0,17.0,65.73,3.13,3.13,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,1.071393643031785
150804,2009-12-09,367.0,3000006340,12.0,12.0,10.0,32.88,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,0.9378973105134477
150808,2009-12-09,367.0,3800031829,25.0,19.0,12.0,82.25,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.449999999999996,7,2.921428571428571,1.1261613691931542
154171,2009-12-16,367.0,1111085319,9.0,8.0,8.0,16.83,1.87,1.87,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,0.6394723986321447
154173,2009-12-16,367.0,1111085350,37.0,30.0,29.0,74.0,2.0,2.37,0.0,1.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,0.6839276990718125
154177,2009-12-16,367.0,1600027527,19.0,19.0,19.0,56.05,2.95,2.95,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,1.0087933561309235
154178,2009-12-16,367.0,1600027528,27.0,20.0,10.0,123.93,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,1.5696140693698095
154179,2009-12-16,367.0,1600027564,25.0,22.0,20.0,75.75,3.03,3.03,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,1.036150464093796
154182,2009-12-16,367.0,3000006340,2.0,2.0,2.0,5.48,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,0.9369809477283831
154187,2009-12-16,367.0,3800031829,23.0,20.0,6.0,75.67,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.47,7,2.924285714285714,1.1250610649731316
157556,2009-12-23,367.0,1111085319,3.0,3.0,3.0,5.67,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,0.664156626506024
157558,2009-12-23,367.0,1111085350,18.0,14.0,14.0,35.64,1.98,2.37,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,0.6957831325301205
157562,2009-12-23,367.0,1600027527,10.0,10.0,10.0,29.5,2.95,2.95,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,1.0366465863453815
157563,2009-12-23,367.0,1600027528,19.0,17.0,8.0,87.21,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,1.6129518072289157
157564,2009-12-23,367.0,1600027564,15.0,14.0,14.0,49.35,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,1.1561244979919678
157566,2009-12-23,367.0,3000006340,17.0,15.0,15.0,32.81,1.93,2.74,1.0,1.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,0.6782128514056225
157570,2009-12-23,367.0,3800031829,8.0,7.0,3.0,26.32,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.919999999999998,7,2.8457142857142856,1.1561244979919678
160929,2009-12-30,367.0,1111085319,10.0,9.0,9.0,18.9,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,0.6688574317492417
160931,2009-12-30,367.0,1111085350,4.0,4.0,4.0,8.0,2.0,2.37,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,0.7077856420626897
160935,2009-12-30,367.0,1600027527,12.0,12.0,11.0,35.4,2.95,2.95,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,1.0439838220424673
160936,2009-12-30,367.0,1600027528,31.0,22.0,13.0,142.29,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,1.624368048533873
160937,2009-12-30,367.0,1600027564,16.0,15.0,12.0,49.28,3.08,3.08,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,1.0899898887765422
160938,2009-12-30,367.0,3000006340,9.0,8.0,8.0,17.82,1.98,2.74,1.0,1.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,0.7007077856420628
160942,2009-12-30,367.0,3800031829,12.0,11.0,8.0,39.48,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.779999999999998,7,2.825714285714285,1.1643073811931246
164280,2010-01-06,367.0,1111085319,12.0,11.0,11.0,22.68,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,0.6833677685950413
164282,2010-01-06,367.0,1111085350,18.0,14.0,14.0,36.18,2.01,2.37,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,0.7267561983471074
164286,2010-01-06,367.0,1600027527,10.0,10.0,10.0,26.6,2.66,2.66,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,0.9617768595041324
164287,2010-01-06,367.0,1600027528,20.0,17.0,12.0,91.8,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,1.6596074380165289
164288,2010-01-06,367.0,1600027564,22.0,21.0,17.0,72.38,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,1.1895661157024795
164290,2010-01-06,367.0,3000006340,18.0,17.0,16.0,34.74,1.93,2.74,0.0,1.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,0.6978305785123967
164294,2010-01-06,367.0,3800031829,19.0,16.0,9.0,56.81,2.99,2.99,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.36,7,2.7657142857142856,1.0810950413223142
167721,2010-01-13,367.0,1111085319,17.0,16.0,16.0,31.96,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,0.6666666666666665
167723,2010-01-13,367.0,1111085350,34.0,27.0,27.0,68.0,2.0,2.37,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,0.7092198581560283
167727,2010-01-13,367.0,1600027527,24.0,24.0,24.0,70.8,2.95,2.95,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,1.0460992907801419
167728,2010-01-13,367.0,1600027528,21.0,18.0,10.0,96.39,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,1.6276595744680848
167729,2010-01-13,367.0,1600027564,17.0,17.0,15.0,55.93,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,1.1666666666666665
167732,2010-01-13,367.0,3000006340,21.0,20.0,18.0,42.84,2.04,2.74,1.0,1.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,0.7234042553191489
167737,2010-01-13,367.0,3800031829,30.0,24.0,19.0,89.7,2.99,2.99,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.740000000000002,7,2.8200000000000003,1.0602836879432624
171169,2010-01-20,367.0,1111085319,16.0,16.0,16.0,29.92,1.87,1.87,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.32,7,2.902857142857143,0.6441929133858267
171171,2010-01-20,367.0,1111085350,6.0,5.0,5.0,12.0,2.0,2.37,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.32,7,2.902857142857143,0.6889763779527559
171175,2010-01-20,367.0,1600027527,28.0,28.0,27.0,79.52,2.84,2.84,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.32,7,2.902857142857143,0.9783464566929133
171176,2010-01-20,367.0,1600027528,5.0,4.0,3.0,22.95,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.32,7,2.902857142857143,1.5812007874015748
171177,2010-01-20,367.0,1600027564,4.0,4.0,4.0,13.16,3.29,3.29,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.32,7,2.902857142857143,1.1333661417322833
171180,2010-01-20,367.0,3000006340,7.0,6.0,5.0,19.18,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.32,7,2.902857142857143,0.9438976377952756
