quarter_ending,HSC_trust,specialty,program,0-6_weeks,>6-13_weeks,>13-21_weeks,>21-26_weeks,>26-52_weeks,>52_weeks,>26-30_weeks
30-Sep-09,South Eastern,Ophthalmology,Acute Services,102,74,0,0,0,,--
30-Sep-09,South Eastern,Oral Surgery,Acute Services,17,5,0,0,0,,--
30-Sep-09,South Eastern,Plastic Surgery,Acute Services,169,52,0,0,0,,--
30-Sep-09,South Eastern,Paediatric Surgery,Acute Services,59,27,0,0,0,,--
30-Sep-09,South Eastern,Pain Management,Acute Services,12,8,0,0,0,,--
30-Sep-09,South Eastern,General Medicine,Acute Services,418,266,0,0,0,,--
30-Sep-09,South Eastern,Gastroenterology,Acute Services,4,3,0,0,0,,--
30-Sep-09,South Eastern,Haematology (Clinical),Acute Services,2,0,0,0,0,,--
30-Sep-09,South Eastern,Cardiology,Acute Services,54,32,0,0,0,,--
30-Sep-09,South Eastern,Dermatology,Acute Services,103,41,0,0,0,,--
30-Sep-09,South Eastern,Paediatrics,Acute Services,7,0,0,0,0,,--
30-Sep-09,South Eastern,Gynaecology,Acute Services,204,119,0,0,0,,--
30-Sep-09,South Eastern,GP Other,Acute Services,22,0,0,0,0,,--
30-Sep-09,South Eastern,Clinical Oncology,Acute Services,5,1,0,0,0,,--
30-Sep-09,South Eastern,Geriatric Medicine,Elderly Care,9,0,0,0,0,,--
30-Sep-09,Southern,General Surgery,Acute Services,801,394,0,0,0,,--
30-Sep-09,Southern,Urology,Acute Services,156,107,9,0,0,,--
30-Sep-09,Southern,T & O Surgery,Acute Services,60,49,0,0,0,,--
30-Sep-09,Southern,ENT,Acute Services,113,64,0,0,0,,--
30-Sep-09,Southern,Ophthalmology,Acute Services,118,64,0,0,0,,--
30-Sep-09,Southern,Oral Surgery,Acute Services,24,10,0,0,0,,--
30-Sep-09,Southern,Pain Management,Acute Services,40,35,0,0,0,,--
30-Sep-09,Southern,General Medicine,Acute Services,42,18,0,0,0,,--
30-Sep-09,Southern,Gastroenterology,Acute Services,185,149,0,0,0,,--
30-Sep-09,Southern,Haematology (Clinical),Acute Services,13,2,0,0,0,,--
30-Sep-09,Southern,Cardiology,Acute Services,161,107,0,0,0,,--
30-Sep-09,Southern,Dermatology,Acute Services,54,33,0,0,0,,--
30-Sep-09,Southern,Thoracic Medicine,Acute Services,33,7,0,0,0,,--
30-Sep-09,Southern,Neurology,Acute Services,1,0,0,0,0,,--
30-Sep-09,Southern,Rheumatology,Acute Services,121,140,0,0,0,,--
30-Sep-09,Southern,Paediatrics,Acute Services,5,0,0,0,0,,--
30-Sep-09,Southern,Gynaecology,Acute Services,132,81,0,0,0,,--
30-Sep-09,Southern,GP Other,Acute Services,90,27,0,0,0,,--
30-Sep-09,Southern,Clinical Oncology,Acute Services,3,0,0,0,0,,--
30-Sep-09,Western,General Surgery,Acute Services,655,308,6,1,1,,--
30-Sep-09,Western,Urology,Acute Services,137,53,7,0,0,,--
30-Sep-09,Western,T & O Surgery,Acute Services,68,57,34,20,12,,--
30-Sep-09,Western,ENT,Acute Services,51,30,0,0,0,,--
30-Sep-09,Western,Ophthalmology,Acute Services,332,179,2,0,0,,--
30-Sep-09,Western,Oral Surgery,Acute Services,158,18,0,0,0,,--
30-Sep-09,Western,Pain Management,Acute Services,57,33,0,0,0,,--
30-Sep-09,Western,General Medicine,Acute Services,710,470,46,0,0,,--
30-Sep-09,Western,Cardiology,Acute Services,53,33,11,0,0,,--
30-Sep-09,Western,Paediatrics,Acute Services,6,2,0,0,0,,--
30-Sep-09,Western,Gynaecology,Acute Services,171,128,5,0,0,,--
30-Sep-09,Western,GP Other,Acute Services,74,1,0,0,0,,--
31-Dec-09,Belfast,General Surgery,Acute Services,500,410,134,21,0,,--
31-Dec-09,Belfast,Urology,Acute Services,418,417,106,7,4,,--
31-Dec-09,Belfast,T & O Surgery,Acute Services,244,192,28,0,0,,--
31-Dec-09,Belfast,ENT,Acute Services,121,108,10,0,3,,--
31-Dec-09,Belfast,Ophthalmology,Acute Services,681,"1,046",215,50,46,,--
31-Dec-09,Belfast,Oral Surgery,Acute Services,25,43,9,1,0,,--
31-Dec-09,Belfast,Paediatric Dentistry,Acute Services,14,7,3,5,18,,--
31-Dec-09,Belfast,Neurosurgery,Acute Services,10,41,12,0,3,,--
31-Dec-09,Belfast,Plastic Surgery,Acute Services,41,52,30,12,7,,--
31-Dec-09,Belfast,Paediatric Surgery,Acute Services,61,57,0,0,0,,--
31-Dec-09,Belfast,Thoracic Surgery,Acute Services,9,0,0,0,0,,--
31-Dec-09,Belfast,Accident & Emergency,Acute Services,1,0,0,0,0,,--
31-Dec-09,Belfast,Pain Management,Acute Services,176,201,141,63,20,,--
31-Dec-09,Belfast,General Medicine,Acute Services,458,322,130,33,0,,--
31-Dec-09,Belfast,Gastroenterology,Acute Services,476,276,102,5,1,,--
31-Dec-09,Belfast,Endocrinology,Acute Services,5,4,0,0,0,,--
31-Dec-09,Belfast,Cardiology,Acute Services,164,101,13,1,0,,--
31-Dec-09,Belfast,Dermatology,Acute Services,45,11,0,0,0,,--
31-Dec-09,Belfast,Nephrology,Acute Services,32,29,0,0,0,,--
31-Dec-09,Belfast,Neurology,Acute Services,5,0,0,0,0,,--
31-Dec-09,Belfast,Rheumatology,Acute Services,1,0,0,0,0,,--
31-Dec-09,Belfast,Paediatrics,Acute Services,4,0,0,0,0,,--
31-Dec-09,Belfast,Gynaecology,Acute Services,131,129,62,14,10,,--
31-Dec-09,Belfast,Radiology,Acute Services,7,4,0,0,0,,--
31-Dec-09,Northern,General Surgery,Acute Services,956,650,294,100,30,,--
31-Dec-09,Northern,Urology,Acute Services,138,51,26,9,0,,--
31-Dec-09,Northern,ENT,Acute Services,80,57,15,0,0,,--
31-Dec-09,Northern,Oral Surgery,Acute Services,5,4,0,0,0,,--
31-Dec-09,Northern,Pain Management,Acute Services,61,42,44,2,0,,--
31-Dec-09,Northern,General Medicine,Acute Services,176,116,70,36,10,,--
31-Dec-09,Northern,Gastroenterology,Acute Services,496,426,308,114,2,,--
31-Dec-09,Northern,Cardiology,Acute Services,0,6,5,1,1,,--
31-Dec-09,Northern,Dermatology,Acute Services,39,29,32,19,26,,--
31-Dec-09,Northern,Gynaecology,Acute Services,196,154,29,6,2,,--
31-Dec-09,Northern,GP Other,Acute Services,128,25,2,2,0,,--
31-Dec-09,South Eastern,General Surgery,Acute Services,583,304,45,5,2,,--
31-Dec-09,South Eastern,Urology,Acute Services,167,29,4,0,0,,--
31-Dec-09,South Eastern,T & O Surgery,Acute Services,8,1,0,0,0,,--
31-Dec-09,South Eastern,ENT,Acute Services,48,13,0,0,0,,--
31-Dec-09,South Eastern,Ophthalmology,Acute Services,73,79,18,0,0,,--
31-Dec-09,South Eastern,Oral Surgery,Acute Services,13,9,1,0,0,,--
31-Dec-09,South Eastern,Paediatric Dentistry,Acute Services,1,0,0,0,0,,--
31-Dec-09,South Eastern,Plastic Surgery,Acute Services,130,79,66,17,0,,--
31-Dec-09,South Eastern,Paediatric Surgery,Acute Services,41,41,0,0,0,,--
31-Dec-09,South Eastern,Pain Management,Acute Services,22,10,0,0,0,,--
31-Dec-09,South Eastern,General Medicine,Acute Services,332,301,95,8,1,,--
31-Dec-09,South Eastern,Gastroenterology,Acute Services,26,12,0,0,0,,--
31-Dec-09,South Eastern,Haematology (Clinical),Acute Services,1,1,0,0,0,,--
31-Dec-09,South Eastern,Cardiology,Acute Services,67,47,20,1,0,,--
31-Dec-09,South Eastern,Dermatology,Acute Services,99,97,10,0,2,,--
31-Dec-09,South Eastern,Nephrology,Acute Services,1,1,0,0,0,,--
31-Dec-09,South Eastern,Neurology,Acute Services,0,1,0,0,0,,--
31-Dec-09,South Eastern,Paediatrics,Acute Services,5,0,0,0,0,,--
31-Dec-09,South Eastern,Gynaecology,Acute Services,189,130,15,0,0,,--
31-Dec-09,South Eastern,GP Other,Acute Services,25,2,0,0,0,,--
31-Dec-09,South Eastern,Clinical Oncology,Acute Services,3,0,0,0,0,,--
31-Dec-09,South Eastern,Geriatric Medicine,Elderly Care,21,0,0,0,0,,--
31-Dec-09,Southern,General Surgery,Acute Services,647,609,0,0,0,,--
31-Dec-09,Southern,Urology,Acute Services,92,113,15,1,1,,--
31-Dec-09,Southern,T & O Surgery,Acute Services,55,54,3,0,0,,--
31-Dec-09,Southern,ENT,Acute Services,128,56,0,0,0,,--
31-Dec-09,Southern,Ophthalmology,Acute Services,111,94,0,0,0,,--
31-Dec-09,Southern,Oral Surgery,Acute Services,15,15,0,0,0,,--
31-Dec-09,Southern,Pain Management,Acute Services,27,17,0,0,0,,--
31-Dec-09,Southern,General Medicine,Acute Services,46,24,0,0,0,,--
31-Dec-09,Southern,Gastroenterology,Acute Services,193,116,0,0,0,,--
31-Dec-09,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,--
31-Dec-09,Southern,Cardiology,Acute Services,187,176,0,0,0,,--
31-Dec-09,Southern,Dermatology,Acute Services,59,64,0,0,0,,--
31-Dec-09,Southern,Thoracic Medicine,Acute Services,28,7,0,0,0,,--
31-Dec-09,Southern,Neurology,Acute Services,1,0,0,0,0,,--
31-Dec-09,Southern,Rheumatology,Acute Services,157,227,2,0,0,,--
31-Dec-09,Southern,Gynaecology,Acute Services,150,94,0,0,0,,--
31-Dec-09,Southern,GP Other,Acute Services,82,12,0,0,0,,--
31-Dec-09,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,--
31-Dec-09,Western,General Surgery,Acute Services,707,421,83,2,4,,--
31-Dec-09,Western,Urology,Acute Services,135,69,14,0,0,,--
31-Dec-09,Western,T & O Surgery,Acute Services,50,55,54,16,37,,--
31-Dec-09,Western,ENT,Acute Services,59,31,3,2,0,,--
31-Dec-09,Western,Ophthalmology,Acute Services,297,218,53,0,0,,--
31-Dec-09,Western,Oral Surgery,Acute Services,250,45,24,0,0,,--
31-Dec-09,Western,Pain Management,Acute Services,53,29,0,0,0,,--
31-Dec-09,Western,General Medicine,Acute Services,600,608,94,0,0,,--
31-Dec-09,Western,Cardiology,Acute Services,56,50,0,0,0,,--
31-Dec-09,Western,Paediatrics,Acute Services,6,3,0,0,0,,--
31-Dec-09,Western,Gynaecology,Acute Services,168,185,22,0,0,,--
31-Dec-09,Western,GP Other,Acute Services,49,3,0,0,0,,--
31-Mar-10,Belfast,General Surgery,Acute Services,500,399,2,0,0,,--
31-Mar-10,Belfast,Urology,Acute Services,574,399,178,26,0,,--
31-Mar-10,Belfast,T & O Surgery,Acute Services,229,268,161,3,3,,--
31-Mar-10,Belfast,ENT,Acute Services,146,112,1,0,0,,--
31-Mar-10,Belfast,Ophthalmology,Acute Services,881,"1,004",5,0,3,,--
31-Mar-10,Belfast,Oral Surgery,Acute Services,55,42,20,0,0,,--
31-Mar-10,Belfast,Paediatric Dentistry,Acute Services,34,9,8,0,0,,--
31-Mar-10,Belfast,Neurosurgery,Acute Services,31,36,1,0,0,,--
31-Mar-10,Belfast,Plastic Surgery,Acute Services,71,50,18,0,1,,--
31-Mar-10,Belfast,Paediatric Surgery,Acute Services,75,40,0,0,0,,--
31-Mar-10,Belfast,Thoracic Surgery,Acute Services,2,2,0,0,0,,--
31-Mar-10,Belfast,Anaesthetics,Acute Services,1,0,0,0,0,,--
31-Mar-10,Belfast,Pain Management,Acute Services,185,240,172,5,5,,--
31-Mar-10,Belfast,General Medicine,Acute Services,497,282,0,0,0,,--
31-Mar-10,Belfast,Gastroenterology,Acute Services,484,302,0,0,0,,--
31-Mar-10,Belfast,Endocrinology,Acute Services,8,0,0,0,0,,--
31-Mar-10,Belfast,Cardiology,Acute Services,185,113,1,0,0,,--
31-Mar-10,Belfast,Dermatology,Acute Services,24,18,0,0,0,,--
31-Mar-10,Belfast,Nephrology,Acute Services,22,13,0,0,0,,--
31-Mar-10,Belfast,Neurology,Acute Services,0,2,0,0,0,,--
31-Mar-10,Belfast,Rheumatology,Acute Services,5,0,0,0,0,,--
31-Mar-10,Belfast,Paediatrics,Acute Services,0,8,0,0,0,,--
31-Mar-10,Belfast,Gynaecology,Acute Services,161,156,40,0,0,,--
31-Mar-10,Belfast,Radiology,Acute Services,20,6,0,0,0,,--
31-Mar-10,Northern,General Surgery,Acute Services,"1,089",566,105,0,0,,--
31-Mar-10,Northern,Urology,Acute Services,178,71,0,0,0,,--
31-Mar-10,Northern,ENT,Acute Services,92,55,0,0,0,,--
31-Mar-10,Northern,Oral Surgery,Acute Services,14,9,0,0,0,,--
31-Mar-10,Northern,Pain Management,Acute Services,102,78,0,0,0,,--
31-Mar-10,Northern,General Medicine,Acute Services,220,130,50,0,0,,--
31-Mar-10,Northern,Gastroenterology,Acute Services,591,390,123,0,0,,--
31-Mar-10,Northern,Cardiology,Acute Services,4,0,0,0,0,,--
31-Mar-10,Northern,Dermatology,Acute Services,28,17,0,0,0,,--
31-Mar-10,Northern,Gynaecology,Acute Services,257,176,0,0,0,,--
31-Mar-10,Northern,GP Other,Acute Services,145,43,0,0,0,,--
31-Mar-10,South Eastern,General Surgery,Acute Services,512,294,0,0,0,,--
31-Mar-10,South Eastern,Urology,Acute Services,185,79,0,0,0,,--
31-Mar-10,South Eastern,T & O Surgery,Acute Services,9,1,0,0,0,,--
31-Mar-10,South Eastern,ENT,Acute Services,56,33,0,0,0,,--
31-Mar-10,South Eastern,Ophthalmology,Acute Services,106,100,0,0,0,,--
31-Mar-10,South Eastern,Oral Surgery,Acute Services,71,28,0,0,0,,--
31-Mar-10,South Eastern,Plastic Surgery,Acute Services,162,115,71,27,0,,--
31-Mar-10,South Eastern,Paediatric Surgery,Acute Services,66,50,0,0,0,,--
31-Mar-10,South Eastern,Pain Management,Acute Services,37,28,0,0,0,,--
31-Mar-10,South Eastern,General Medicine,Acute Services,489,223,0,0,0,,--
31-Mar-10,South Eastern,Gastroenterology,Acute Services,32,8,0,0,0,,--
31-Mar-10,South Eastern,Haematology (Clinical),Acute Services,1,0,0,0,0,,--
31-Mar-10,South Eastern,Cardiology,Acute Services,82,23,0,0,0,,--
31-Mar-10,South Eastern,Dermatology,Acute Services,356,191,0,0,0,,--
31-Mar-10,South Eastern,Nephrology,Acute Services,1,0,0,0,0,,--
31-Mar-10,South Eastern,Neurology,Acute Services,1,0,0,0,0,,--
31-Mar-10,South Eastern,Gynaecology,Acute Services,170,98,0,0,0,,--
31-Mar-10,South Eastern,GP Other,Acute Services,34,0,0,0,0,,--
31-Mar-10,South Eastern,Clinical Oncology,Acute Services,7,0,0,0,0,,--
31-Mar-10,South Eastern,Geriatric Medicine,Elderly Care,34,1,0,0,0,,--
31-Mar-10,Southern,General Surgery,Acute Services,680,669,53,0,0,,--
31-Mar-10,Southern,Urology,Acute Services,131,79,47,0,0,,--
31-Mar-10,Southern,T & O Surgery,Acute Services,52,59,17,0,0,,--
31-Mar-10,Southern,ENT,Acute Services,82,40,0,0,0,,--
31-Mar-10,Southern,Ophthalmology,Acute Services,91,79,0,0,0,,--
31-Mar-10,Southern,Oral Surgery,Acute Services,13,8,0,0,0,,--
31-Mar-10,Southern,Pain Management,Acute Services,63,22,0,0,0,,--
31-Mar-10,Southern,General Medicine,Acute Services,44,26,2,0,0,,--
31-Mar-10,Southern,Gastroenterology,Acute Services,212,195,35,0,0,,--
31-Mar-10,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,--
31-Mar-10,Southern,Cardiology,Acute Services,238,135,0,0,0,,--
31-Mar-10,Southern,Dermatology,Acute Services,56,36,0,0,0,,--
31-Mar-10,Southern,Thoracic Medicine,Acute Services,40,1,0,0,0,,--
31-Mar-10,Southern,Rheumatology,Acute Services,268,203,0,0,0,,--
31-Mar-10,Southern,Paediatrics,Acute Services,2,0,0,0,0,,--
31-Mar-10,Southern,Gynaecology,Acute Services,143,114,0,0,0,,--
31-Mar-10,Southern,GP Other,Acute Services,89,15,0,0,0,,--
31-Mar-10,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,--
31-Mar-10,Western,General Surgery,Acute Services,678,456,51,2,0,,--
31-Mar-10,Western,Urology,Acute Services,212,54,7,4,0,,--
31-Mar-10,Western,T & O Surgery,Acute Services,92,31,55,34,0,,--
31-Mar-10,Western,ENT,Acute Services,74,37,0,0,0,,--
31-Mar-10,Western,Ophthalmology,Acute Services,333,158,0,0,0,,--
31-Mar-10,Western,Oral Surgery,Acute Services,208,42,0,0,0,,--
31-Mar-10,Western,Pain Management,Acute Services,72,29,0,0,0,,--
31-Mar-10,Western,General Medicine,Acute Services,728,508,0,0,0,,--
31-Mar-10,Western,Cardiology,Acute Services,59,59,0,0,0,,--
31-Mar-10,Western,Paediatrics,Acute Services,3,9,0,0,0,,--
31-Mar-10,Western,Gynaecology,Acute Services,248,133,17,0,0,,--
31-Mar-10,Western,GP Other,Acute Services,65,3,0,0,0,,--
30-Jun-10,Belfast,General Surgery,Acute Services,546,423,101,11,--,,--
30-Jun-10,Belfast,Urology,Acute Services,578,440,335,94,--,,--
30-Jun-10,Belfast,T & O Surgery,Acute Services,213,185,195,56,--,,--
30-Jun-10,Belfast,ENT,Acute Services,141,118,20,1,--,,--
30-Jun-10,Belfast,Ophthalmology,Acute Services,781,955,396,11,--,,--
30-Jun-10,Belfast,Oral Surgery,Acute Services,38,36,52,2,--,,--
30-Jun-10,Belfast,Paediatric Dentistry,Acute Services,33,12,10,1,--,,--
30-Jun-10,Belfast,Neurosurgery,Acute Services,39,19,9,4,--,,--
30-Jun-10,Belfast,Plastic Surgery,Acute Services,77,51,46,9,--,,--
30-Jun-10,Belfast,Paediatric Surgery,Acute Services,112,56,24,1,--,,--
30-Jun-10,Belfast,Pain Management,Acute Services,152,212,223,68,--,,--
30-Jun-10,Belfast,General Medicine,Acute Services,396,343,193,2,--,,--
30-Jun-10,Belfast,Gastroenterology,Acute Services,578,366,23,0,--,,--
30-Jun-10,Belfast,Endocrinology,Acute Services,9,0,0,0,--,,--
30-Jun-10,Belfast,Cardiology,Acute Services,211,114,33,4,--,,--
30-Jun-10,Belfast,Dermatology,Acute Services,22,6,0,0,--,,--
30-Jun-10,Belfast,Nephrology,Acute Services,19,12,1,0,--,,--
30-Jun-10,Belfast,Neurology,Acute Services,0,1,0,0,--,,--
30-Jun-10,Belfast,Gynaecology,Acute Services,161,154,74,23,--,,--
30-Jun-10,Belfast,GP Other,Acute Services,8,0,0,0,--,,--
30-Jun-10,Belfast,Radiology,Acute Services,20,5,9,3,--,,--
30-Jun-10,Northern,General Surgery,Acute Services,826,556,376,88,--,,--
30-Jun-10,Northern,Urology,Acute Services,182,132,36,6,--,,--
30-Jun-10,Northern,ENT,Acute Services,84,48,12,6,--,,--
30-Jun-10,Northern,Oral Surgery,Acute Services,10,8,1,0,--,,--
30-Jun-10,Northern,Pain Management,Acute Services,64,39,65,3,--,,--
30-Jun-10,Northern,General Medicine,Acute Services,169,107,107,37,--,,--
30-Jun-10,Northern,Gastroenterology,Acute Services,618,413,286,56,--,,--
30-Jun-10,Northern,Cardiology,Acute Services,8,2,0,0,--,,--
30-Jun-10,Northern,Dermatology,Acute Services,25,17,3,1,--,,--
30-Jun-10,Northern,Rheumatology,Acute Services,2,0,0,0,--,,--
30-Jun-10,Northern,Gynaecology,Acute Services,190,206,93,10,--,,--
30-Jun-10,Northern,GP Other,Acute Services,110,30,0,0,--,,--
30-Jun-10,South Eastern,General Surgery,Acute Services,596,168,55,7,--,,--
30-Jun-10,South Eastern,Urology,Acute Services,136,15,3,0,--,,--
30-Jun-10,South Eastern,T & O Surgery,Acute Services,8,2,0,0,--,,--
30-Jun-10,South Eastern,ENT,Acute Services,65,31,2,0,--,,--
30-Jun-10,South Eastern,Ophthalmology,Acute Services,138,81,0,0,--,,--
30-Jun-10,South Eastern,Oral Surgery,Acute Services,18,9,0,0,--,,--
30-Jun-10,South Eastern,Plastic Surgery,Acute Services,189,111,391,40,--,,--
30-Jun-10,South Eastern,Paediatric Surgery,Acute Services,51,37,0,0,--,,--
30-Jun-10,South Eastern,Pain Management,Acute Services,40,18,0,0,--,,--
30-Jun-10,South Eastern,General Medicine,Acute Services,377,256,86,2,--,,--
30-Jun-10,South Eastern,Gastroenterology,Acute Services,1,6,0,0,--,,--
30-Jun-10,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,--,,--
30-Jun-10,South Eastern,Cardiology,Acute Services,86,58,17,3,--,,--
30-Jun-10,South Eastern,Dermatology,Acute Services,73,79,37,1,--,,--
30-Jun-10,South Eastern,Nephrology,Acute Services,2,0,0,0,--,,--
30-Jun-10,South Eastern,Neurology,Acute Services,2,1,0,0,--,,--
30-Jun-10,South Eastern,Paediatrics,Acute Services,6,0,0,0,--,,--
30-Jun-10,South Eastern,Gynaecology,Acute Services,202,130,3,0,--,,--
30-Jun-10,South Eastern,GP Other,Acute Services,6,3,0,0,--,,--
30-Jun-10,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,--,,--
30-Jun-10,South Eastern,Geriatric Medicine,Elderly Care,27,0,0,0,--,,--
30-Jun-10,Southern,General Surgery,Acute Services,702,597,416,90,--,,--
30-Jun-10,Southern,Urology,Acute Services,79,84,80,36,--,,--
30-Jun-10,Southern,T & O Surgery,Acute Services,36,41,19,1,--,,--
30-Jun-10,Southern,ENT,Acute Services,97,65,0,0,--,,--
30-Jun-10,Southern,Ophthalmology,Acute Services,86,83,0,0,--,,--
30-Jun-10,Southern,Oral Surgery,Acute Services,14,17,0,0,--,,--
30-Jun-10,Southern,Pain Management,Acute Services,88,95,0,0,--,,--
30-Jun-10,Southern,General Medicine,Acute Services,49,19,18,5,--,,--
30-Jun-10,Southern,Gastroenterology,Acute Services,177,148,223,38,--,,--
30-Jun-10,Southern,Haematology (Clinical),Acute Services,6,3,0,0,--,,--
30-Jun-10,Southern,Cardiology,Acute Services,201,174,75,1,--,,--
30-Jun-10,Southern,Dermatology,Acute Services,55,44,0,0,--,,--
30-Jun-10,Southern,Thoracic Medicine,Acute Services,50,6,0,0,--,,--
30-Jun-10,Southern,Neurology,Acute Services,2,0,0,0,--,,--
30-Jun-10,Southern,Rheumatology,Acute Services,179,239,230,2,--,,--
30-Jun-10,Southern,Paediatrics,Acute Services,4,1,0,0,--,,--
30-Jun-10,Southern,Gynaecology,Acute Services,187,117,0,0,--,,--
30-Jun-10,Southern,GP Other,Acute Services,103,20,0,0,--,,--
30-Jun-10,Southern,Clinical Oncology,Acute Services,0,1,0,0,--,,--
30-Jun-10,Western,General Surgery,Acute Services,617,432,158,11,--,,--
30-Jun-10,Western,Urology,Acute Services,169,74,33,12,--,,--
30-Jun-10,Western,T & O Surgery,Acute Services,65,39,60,16,--,,--
30-Jun-10,Western,ENT,Acute Services,60,29,2,0,--,,--
30-Jun-10,Western,Ophthalmology,Acute Services,302,218,47,1,--,,--
30-Jun-10,Western,Oral Surgery,Acute Services,149,35,5,0,--,,--
30-Jun-10,Western,Pain Management,Acute Services,58,41,23,0,--,,--
30-Jun-10,Western,General Medicine,Acute Services,728,673,22,0,--,,--
30-Jun-10,Western,Cardiology,Acute Services,69,72,2,0,--,,--
30-Jun-10,Western,Paediatrics,Acute Services,1,3,2,0,--,,--
30-Jun-10,Western,Gynaecology,Acute Services,171,140,59,3,--,,--
30-Jun-10,Western,GP Other,Acute Services,69,4,0,0,--,,--
30-Sep-10,Belfast,General Surgery,Acute Services,634,417,284,43,--,,--
30-Sep-10,Belfast,Urology,Acute Services,629,466,292,141,--,,--
30-Sep-10,Belfast,T & O Surgery,Acute Services,2,2,273,123,--,,--
30-Sep-10,Belfast,ENT,Acute Services,99,90,77,15,--,,--
30-Sep-10,Belfast,Ophthalmology,Acute Services,858,"1,017",536,58,--,,--
30-Sep-10,Belfast,Oral Surgery,Acute Services,43,43,43,10,--,,--
30-Sep-10,Belfast,Paediatric Dentistry,Acute Services,19,21,7,1,--,,--
30-Sep-10,Belfast,Neurosurgery,Acute Services,25,24,7,0,--,,--
30-Sep-10,Belfast,Plastic Surgery,Acute Services,48,30,36,7,--,,--
30-Sep-10,Belfast,Cardiac Surgery,Acute Services,0,1,0,0,--,,--
30-Sep-10,Belfast,Paediatric Surgery,Acute Services,53,52,65,10,--,,--
30-Sep-10,Belfast,Thoracic Surgery,Acute Services,5,0,0,0,--,,--
30-Sep-10,Belfast,Pain Management,Acute Services,111,168,220,78,--,,--
30-Sep-10,Belfast,General Medicine,Acute Services,351,317,199,132,--,,--
30-Sep-10,Belfast,Gastroenterology,Acute Services,516,309,262,10,--,,--
30-Sep-10,Belfast,Endocrinology,Acute Services,6,3,0,0,--,,--
30-Sep-10,Belfast,Cardiology,Acute Services,209,152,32,7,--,,--
30-Sep-10,Belfast,Dermatology,Acute Services,28,9,5,0,--,,--
30-Sep-10,Belfast,Nephrology,Acute Services,20,10,1,0,--,,--
30-Sep-10,Belfast,Neurology,Acute Services,1,0,0,0,--,,--
30-Sep-10,Belfast,Paediatrics,Acute Services,19,11,4,1,--,,--
30-Sep-10,Belfast,Gynaecology,Acute Services,185,144,95,31,--,,--
30-Sep-10,Belfast,GP Other,Acute Services,9,0,0,0,--,,--
30-Sep-10,Belfast,Radiology,Acute Services,9,2,4,2,--,,--
30-Sep-10,Northern,General Surgery,Acute Services,756,450,361,145,--,,--
30-Sep-10,Northern,Urology,Acute Services,150,55,45,9,--,,--
30-Sep-10,Northern,ENT,Acute Services,85,45,13,9,--,,--
30-Sep-10,Northern,Ophthalmology,Acute Services,2,11,2,10,--,,--
30-Sep-10,Northern,Oral Surgery,Acute Services,5,7,6,0,--,,--
30-Sep-10,Northern,Pain Management,Acute Services,63,46,31,18,--,,--
30-Sep-10,Northern,General Medicine,Acute Services,169,101,93,37,--,,--
30-Sep-10,Northern,Gastroenterology,Acute Services,432,357,376,161,--,,--
30-Sep-10,Northern,Dermatology,Acute Services,33,25,13,2,--,,--
30-Sep-10,Northern,Gynaecology,Acute Services,201,142,119,28,--,,--
30-Sep-10,Northern,GP Other,Acute Services,40,1,0,0,--,,--
30-Sep-10,Northern,Other,Acute Services,82,26,0,0,--,,--
30-Sep-10,South Eastern,General Surgery,Acute Services,603,228,65,2,--,,--
30-Sep-10,South Eastern,Urology,Acute Services,216,49,0,0,--,,--
30-Sep-10,South Eastern,T & O Surgery,Acute Services,12,2,2,0,--,,--
30-Sep-10,South Eastern,ENT,Acute Services,48,46,0,0,--,,--
30-Sep-10,South Eastern,Ophthalmology,Acute Services,53,26,22,0,--,,--
30-Sep-10,South Eastern,Oral Surgery,Acute Services,30,6,0,0,--,,--
30-Sep-10,South Eastern,Neurosurgery,Acute Services,2,3,0,0,--,,--
30-Sep-10,South Eastern,Plastic Surgery,Acute Services,167,85,114,49,--,,--
30-Sep-10,South Eastern,Paediatric Surgery,Acute Services,41,27,0,0,--,,--
30-Sep-10,South Eastern,Pain Management,Acute Services,48,18,1,0,--,,--
30-Sep-10,South Eastern,General Medicine,Acute Services,368,247,135,31,--,,--
30-Sep-10,South Eastern,Gastroenterology,Acute Services,25,15,0,0,--,,--
30-Sep-10,South Eastern,Haematology (Clinical),Acute Services,3,0,0,0,--,,--
30-Sep-10,South Eastern,Cardiology,Acute Services,70,43,31,8,--,,--
30-Sep-10,South Eastern,Dermatology,Acute Services,70,45,65,4,--,,--
30-Sep-10,South Eastern,Nephrology,Acute Services,3,0,0,0,--,,--
30-Sep-10,South Eastern,Paediatrics,Acute Services,22,0,0,0,--,,--
30-Sep-10,South Eastern,Gynaecology,Acute Services,176,117,14,1,--,,--
30-Sep-10,South Eastern,GP Other,Acute Services,16,1,0,0,--,,--
30-Sep-10,South Eastern,Clinical Oncology,Acute Services,6,0,0,0,--,,--
30-Sep-10,South Eastern,Geriatric Medicine,Elderly Care,24,1,0,0,--,,--
30-Sep-10,Southern,General Surgery,Acute Services,655,381,503,242,--,,--
