id,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,scheduled_delivery_date,delivered_to_client_date,product_group,sub_classification,vendor,item_id,item_description,brand,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd,line_item_insurance_usd
10834,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,16-May-07,16-May-07,ARV,Adult,SCMS from RDC,SKU0058,"Abacavir 300mg, tablets, 60 Tabs",Generic,60,268,9594.4,35.8,0.6,"Aurobindo Unit III, India",151,1516,
10837,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,6-Jul-07,6-Jul-07,ARV,Adult,SCMS from RDC,SKU0044,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,60,3386,25395,7.5,0.12,"Cipla, Goa, India",31,1589,
10838,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,28-Jun-07,28-Jun-07,ARV,Adult,SCMS from RDC,SKU0098,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Generic,30,54263,108526,2,0.07,"Cipla, Goa, India",See DN-196 (ID#:10573),See DN-196 (ID#:10573),173.64
10840,Tanzania,PMO - US,From RDC,N/A - From RDC,,22-Aug-07,22-Aug-07,ARV,Adult,SCMS from RDC,SKU0044,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,60,3386,25395,7.5,0.12,"Cipla, Goa, India",345,2554.39,40.63
10841,Angola,PMO - US,From RDC,N/A - From RDC,Truck,15-Oct-07,15-Oct-07,HRDT,HIV test,SCMS from RDC,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,100,150,12000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,49,1012.59,19.2
10842,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,22-Aug-07,22-Aug-07,HRDT,HIV test,SCMS from RDC,SKU0009,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,20,155,4960,32,1.6,"Trinity Biotech, Plc",55,1126.84,7.94
10843,Zambia,PMO - US,From RDC,N/A - From RDC,,7-Aug-07,7-Aug-07,ARV,Adult,SCMS from RDC,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,52865,188728.05,3.57,0.06,"Aurobindo Unit III, India",9182,37695.46,301.96
10844,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,30-Jul-07,30-Jul-07,HRDT,HIV test,SCMS from RDC,SKU0009,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,20,250,8000,32,1.6,"Trinity Biotech, Plc",78,1324.61,12.8
10845,Nigeria,PMO - US,From RDC,N/A - From RDC,,5-Jul-07,5-Jul-07,HRDT,HIV test,SCMS from RDC,SKU0016,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,20,500,13500,27,1.35,Chembio Diagnostics Sys. Inc.,115,1352,21.6
10846,Guyana,PMO - US,From RDC,N/A - From RDC,Air,18-Jul-07,18-Jul-07,ARV,Adult,SCMS from RDC,SKU0014,"Zidovudine 300mg, tablets, 60 Tabs",Generic,60,209,1703.35,8.15,0.14,"Ranbaxy, Paonta Shahib, India",12,764.62,2.73
10847,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,16-Jul-07,16-Jul-07,ARV,Adult,SCMS from RDC,SKU0058,"Abacavir 300mg, tablets, 60 Tabs",Generic,60,1051,37625.8,35.8,0.6,"Aurobindo Unit III, India",373,1850,60.2
10851,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,21-Sep-07,21-Sep-07,ARV,Pediatric,SCMS from RDC,SKU0076,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Generic,200,165,239.25,1.45,0.01,"Aurobindo Unit III, India",15,350.78,0.38
10852,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,6-Jul-07,6-Jul-07,ARV,Adult,SCMS from RDC,SKU0059,"Stavudine 20mg, capsules, 60 Caps",Generic,60,253,442.75,1.75,0.03,"Aurobindo Unit III, India",15,460,0.71
10855,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,13-Aug-07,13-Aug-07,ARV,Adult,SCMS from RDC,SKU0014,"Zidovudine 300mg, tablets, 60 Tabs",Generic,60,18290,155830.8,8.52,0.14,"Aurobindo Unit III, India",1114,3473,249.33
10857,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,14-Sep-07,14-Sep-07,ARV,Adult,SCMS from RDC,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,60,3285,4993.2,1.52,0.03,"Strides, Bangalore, India.",See DN-323 (ID#:10588),See DN-323 (ID#:10588),7.99
10859,Tanzania,PMO - US,From RDC,N/A - From RDC,,10-Sep-07,10-Sep-07,ARV,Adult,SCMS from RDC,SKU0058,"Abacavir 300mg, tablets, 60 Tabs",Generic,60,3896,139476.8,35.8,0.6,"Aurobindo Unit III, India",3369,9689,223.16
10860,Tanzania,PMO - US,From RDC,N/A - From RDC,,18-Oct-07,18-Oct-07,HRDT,HIV test,SCMS from RDC,SKU0019,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,25,8000,160000,20,0.8,"Standard Diagnostics, Korea",2366,13952.38,256
10861,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,21-Sep-07,21-Sep-07,ARV,Adult,SCMS from RDC,SKU0052,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Norvir,336,143,5485.48,38.36,0.11,ABBVIE (Abbott) Logis. UK,See DN-304 (ID#:10589),See DN-304 (ID#:10589),8.78
10862,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,21-Sep-07,21-Sep-07,ARV,Adult,SCMS from RDC,SKU0054,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Generic,60,17191,300842.5,17.5,0.29,"Cipla, Goa, India",See DN-304 (ID#:10589),See DN-304 (ID#:10589),481.35
10863,Uganda,PMO - US,From RDC,N/A - From RDC,Air,27-Aug-07,27-Aug-07,ARV,Adult,SCMS from RDC,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,1859,6320.6,3.4,0.06,"Aurobindo Unit III, India",214,891,10.11
10865,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,30-Aug-07,30-Aug-07,ARV,Pediatric,SCMS from RDC,SKU0102,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Stocrin/Sustiva,180,508,8620.76,16.97,0.09,"MSD Patheon, Canada",See DN-320 (ID#:10593),See DN-320 (ID#:10593),13.79
10866,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,30-Aug-07,30-Aug-07,ARV,Adult,SCMS from RDC,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,25799,87716.6,3.4,0.06,"Strides, Bangalore, India.",See DN-320 (ID#:10593),See DN-320 (ID#:10593),140.35
10867,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,19-Sep-07,19-Sep-07,HRDT,HIV test,SCMS from RDC,SKU0025,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,40,230,17480,76,1.9,Bio-Rad Laboratories,917,6056.76,27.97
10868,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,19-Sep-07,19-Sep-07,HRDT,HIV test,SCMS from RDC,SKU0025,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,40,615,46740,76,1.9,Bio-Rad Laboratories,See DN-356 (ID#:10867),See DN-356 (ID#:10867),74.78
10877,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,4-Sep-07,4-Sep-07,ARV,Adult,SCMS from RDC,SKU0011,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,60,10000,106800,10.68,0.18,"Aurobindo Unit III, India",See DN-330 (ID#:10612),See DN-330 (ID#:10612),170.88
10878,Ethiopia,PMO - US,From RDC,N/A - From RDC,,4-Sep-07,4-Sep-07,ARV,Pediatric,SCMS from RDC,SKU0005,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,240,13850,29777.5,2.15,0.01,"Aurobindo Unit III, India",See DN-332 (ID#:10613),See DN-332 (ID#:10613),47.64
10879,Ethiopia,PMO - US,From RDC,N/A - From RDC,,4-Sep-07,4-Sep-07,ARV,Pediatric,SCMS from RDC,SKU0048,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,240,15913,31348.61,1.97,0.01,"Aurobindo Unit III, India",See DN-332 (ID#:10613),See DN-332 (ID#:10613),50.16
10880,Ethiopia,PMO - US,From RDC,N/A - From RDC,,4-Sep-07,4-Sep-07,ARV,Adult,SCMS from RDC,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,60,14700,22344,1.52,0.03,"Aurobindo Unit III, India",See DN-332 (ID#:10613),See DN-332 (ID#:10613),35.75
10881,Zambia,PMO - US,From RDC,N/A - From RDC,,12-Sep-07,12-Sep-07,ARV,Pediatric,SCMS from RDC,SKU0066,"Efavirenz 200mg, capsule, 90 Caps",Generic,90,1064,17024,16,0.18,"Aurobindo Unit III, India",128,944.21,27.24
10882,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,5-Sep-07,5-Sep-07,HRDT,HIV test,SCMS from RDC,SKU0025,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,40,450,34200,76,1.9,Bio-Rad Laboratories,497,2650.36,54.72
10883,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,10-Sep-07,10-Sep-07,ARV,Adult,SCMS from RDC,SKU0027,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,270,252,19817.28,78.64,0.29,Roche Basel,1736,14182.54,31.71
10884,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,17-Sep-07,17-Sep-07,ARV,Adult,SCMS from RDC,SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,120,3200,131520,41.1,0.34,ABBVIE Ludwigshafen Germany,749,2717,210.43
10885,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,12-Sep-07,12-Sep-07,ARV,Adult,SCMS from RDC,SKU0027,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,270,16,1258.24,78.64,0.29,Roche Basel,295,1737,2.01
10886,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,,12-Sep-07,12-Sep-07,ARV,Adult,SCMS from RDC,SKU0027,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,270,526,41364.64,78.64,0.29,Roche Basel,See DN-349 (ID#:10885),See DN-349 (ID#:10885),66.18
10887,Zambia,PMO - US,From RDC,N/A - From RDC,,2-Nov-07,2-Nov-07,ARV,Pediatric,SCMS from RDC,SKU0071,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Generic,240,1341,22126.5,16.5,0.07,"Aurobindo Unit III, India",395,3478,35.4
10889,Uganda,PMO - US,From RDC,N/A - From RDC,Air,5-Nov-07,5-Nov-07,ARV,Adult,SCMS from RDC,SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,1717,21325.14,12.42,0.41,"Aurobindo Unit III, India",151,1157.58,34.12
10890,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,15-Oct-07,15-Oct-07,ARV,Adult,SCMS from RDC,SKU0027,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,270,1577,124015.28,78.64,0.29,Roche Basel,3023,13721.28,198.42
10891,Zambia,PMO - US,From RDC,N/A - From RDC,,17-Oct-07,17-Oct-07,HRDT,HIV test,SCMS from RDC,SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,872,62775.28,71.99,0.72,Inverness Japan,See DN-380 (ID#:10622),See DN-380 (ID#:10622),100.44
10892,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,22-Nov-07,22-Nov-07,ARV,Adult,SCMS from RDC,SKU0078,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Trizivir,60,821,57470,70,1.17,GSK Ware (UK),186,549.44,91.95
10893,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,20-Sep-07,20-Sep-07,ARV,Adult,SCMS from RDC,SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,60,614,2032.34,3.31,0.06,"Aurobindo Unit III, India",See DN-373 (ID#:10623),See DN-373 (ID#:10623),3.25
10894,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,20-Sep-07,20-Sep-07,ARV,Adult,SCMS from RDC,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,600,2142,3.57,0.06,"Aurobindo Unit III, India",See DN-373 (ID#:10623),See DN-373 (ID#:10623),3.43
10895,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,20-Sep-07,20-Sep-07,ARV,Pediatric,SCMS from RDC,SKU0048,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,240,390,1010.1,2.59,0.01,"Cipla, Goa, India",See DN-373 (ID#:10623),See DN-373 (ID#:10623),1.62
10898,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2-Oct-07,2-Oct-07,HRDT,HIV test,SCMS from RDC,SKU0002,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,100,350,25200,72,0.72,Inverness Japan,See DN-376 (ID#:10628),See DN-376 (ID#:10628),40.32
10900,Zambia,PMO - US,From RDC,N/A - From RDC,,17-Oct-07,17-Oct-07,ARV,Pediatric,SCMS from RDC,SKU0077,"Zidovudine 100mg [Retrovir], capsules, 100 Caps",Retrovir,100,2623,27279.2,10.4,0.1,GSK Crawley,159,1007.34,43.65
10901,Zambia,PMO - US,From RDC,N/A - From RDC,,29-Oct-07,29-Oct-07,ARV,Pediatric,SCMS from RDC,SKU0048,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,240,5496,10827.12,1.97,0.01,"Aurobindo Unit III, India",6230,25739.49,17.32
10903,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,16-Nov-07,16-Nov-07,ARV,Pediatric,SCMS from RDC,SKU0049,"Efavirenz 50mg, capsule, 30 Caps",Generic,30,100,224,2.24,0.07,"Aurobindo Unit III, India",118,1616.04,0.36
10904,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,29-Nov-07,29-Nov-07,ARV,Pediatric,SCMS from RDC,SKU0076,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Generic,200,500,700,1.4,0.01,"Aurobindo Unit III, India",See DN-426 (ID#:10633),See DN-426 (ID#:10633),1.12
10905,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,16-Nov-07,16-Nov-07,ARV,Adult,SCMS from RDC,SKU0098,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Generic,30,1,2,2,0.07,"Cipla, Goa, India",63,598.08,0
10906,Uganda,PMO - US,From RDC,N/A - From RDC,Air,10-Dec-07,10-Dec-07,ARV,Adult,SCMS from RDC,SKU0054,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Generic,60,1650,22275,13.5,0.22,"Aurobindo Unit III, India",197,1637,35.64
10907,Zambia,PMO - US,From RDC,N/A - From RDC,,25-Jan-08,25-Jan-08,ARV,Adult,SCMS from RDC,SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,44135,548156.7,12.42,0.41,"Aurobindo Unit III, India",3801,13715.55,877.05
10908,Uganda,PMO - US,From RDC,N/A - From RDC,Air,10-Dec-07,10-Dec-07,ARV,Adult,SCMS from RDC,SKU0053,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Truvada,30,42,1102.5,26.25,0.88,Gilead(Nycomed) Oranienburg DE,464,3393,1.76
10910,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,24-Jan-08,24-Jan-08,ARV,Pediatric,SCMS from RDC,SKU0103,"Abacavir 20mg/ml, [DON] oral solution, Bottle, 240 ml",Generic,240,3119,0,0,0,"Aurobindo Unit III, India",1088,2951.94,0
10915,Zambia,PMO - US,From RDC,N/A - From RDC,,30-Nov-07,30-Nov-07,ARV,Pediatric,SCMS from RDC,SKU0066,"Efavirenz 200mg, capsule, 90 Caps",Generic,90,2066,33056,16,0.18,"Aurobindo Unit III, India",236,1448.2,52.89
10917,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,20-Feb-08,20-Feb-08,ARV,Adult,SCMS from RDC,SKU0059,"Stavudine 20mg, capsules, 60 Caps",Generic,60,219,383.25,1.75,0.03,"Aurobindo Unit III, India",16,472.5,0.61
10918,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,20-Dec-07,20-Dec-07,ARV,Adult,SCMS from RDC,SKU0021,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,30,1184,20128,17,0.57,Gilead(Nycomed) Oranienburg DE,49,639.75,32.2
10919,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,17-Jan-08,17-Jan-08,ARV,Adult,SCMS from RDC,SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,120,479,19686.9,41.1,0.34,ABBVIE Ludwigshafen Germany,421,5947.88,31.5
10923,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,20-Dec-07,20-Dec-07,ARV,Pediatric,SCMS from RDC,SKU0005,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Generic,240,1926,4140.9,2.15,0.01,"Aurobindo Unit III, India",807,2511.67,6.63
10924,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,14-Jan-08,14-Jan-08,ARV,Adult,SCMS from RDC,SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,627,7787.34,12.42,0.41,"Cipla, Goa, India",See DN-488 (ID#:10652),See DN-488 (ID#:10652),12.46
10925,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,5-Mar-08,5-Mar-08,ARV,Adult,SCMS from RDC,SKU0044,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,60,37240,275576,7.4,0.12,"Cipla, Goa, India",4080,13317.2,440.92
10926,Haiti,PMO - US,From RDC,N/A - From RDC,Air,8-Mar-08,8-Mar-08,ARV,Pediatric,SCMS from RDC,SKU0092,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Generic,60,100,1550,15.5,0.26,"Aurobindo Unit III, India",195,2587.9,2.48
10927,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,8-Apr-08,5-Apr-08,ARV,Adult,SCMS from RDC,SKU0078,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Trizivir,60,213,14910,70,1.17,GSK Ware (UK),See DN-628 (ID#:10654),See DN-628 (ID#:10654),23.86
10928,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,8-Apr-08,5-Apr-08,ARV,Adult,SCMS from RDC,SKU0094,"Indinavir 400mg [Crixivan], capsules, 180 Caps",Crixivan,180,343,17150,50,0.28,"MSD, Haarlem, NL",See DN-628 (ID#:10654),See DN-628 (ID#:10654),27.44
10929,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,17-Dec-07,17-Dec-07,ARV,Pediatric,SCMS from RDC,SKU0006,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Stocrin/Sustiva,90,1692,27072,16,0.18,"MSD Manati, Puerto Rico, (USA)",182,1722,43.32
10930,Zambia,PMO - US,From RDC,N/A - From RDC,,8-Jan-08,8-Jan-08,ARV,Adult,SCMS from RDC,SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,50061,976189.5,19.5,0.65,Mylan (formerly Matrix) Nashik,3946,14199.3,1561.9
10931,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,10-Jan-08,10-Jan-08,ARV,Adult,SCMS from RDC,SKU0021,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,30,591,10047,17,0.57,Gilead(Nycomed) Oranienburg DE,37,504,16.08
10933,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,28-Jan-08,28-Jan-08,ARV,Adult,SCMS from RDC,SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,60,3150,9576,3.04,0.05,"Ranbaxy, Paonta Shahib, India",165,2559.28,15.32
10934,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,5-Feb-08,5-Feb-08,ARV,Adult,SCMS from RDC,SKU0098,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Generic,30,1600,3200,2,0.07,"Cipla, Goa, India",See DN-479 (ID#:10647),See DN-479 (ID#:10647),5.12
10936,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,31-Jan-08,31-Jan-08,ARV,Adult,SCMS from RDC,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,7511,25537.4,3.4,0.06,"Ranbaxy, Paonta Shahib, India",732,2724.27,40.86
10937,Guyana,PMO - US,From RDC,N/A - From RDC,Air,24-Jan-08,24-Jan-08,ARV,Adult,SCMS from RDC,SKU0011,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,60,1008,9576,9.5,0.16,"Aurobindo Unit III, India",See DN-557 (ID#:10663),See DN-557 (ID#:10663),15.32
10939,Zambia,PMO - US,From RDC,N/A - From RDC,,28-Feb-08,28-Feb-08,ARV,Adult,SCMS from RDC,SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,44135,548156.7,12.42,0.41,Mylan (formerly Matrix) Nashik,3483,12643.63,877.05
10940,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,25-Feb-08,25-Feb-08,ARV,Pediatric,SCMS from RDC,SKU0082,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Generic,60,2273,17615.75,7.75,0.13,"Aurobindo Unit III, India",2749,10654.94,28.19
10942,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,6-Mar-08,5-Feb-08,ARV,Adult,SCMS from RDC,SKU0094,"Indinavir 400mg [Crixivan], capsules, 180 Caps",Crixivan,180,5538,276900,50,0.28,"MSD, Haarlem, NL",1230,4680.1,443.04
10943,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,5-Feb-08,5-Feb-08,ARV,Adult,SCMS from RDC,SKU0014,"Zidovudine 300mg, tablets, 60 Tabs",Generic,60,10000,81500,8.15,0.14,"Aurobindo Unit III, India",574,3787.32,130.4
10944,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,29-Feb-08,29-Feb-08,HRDT,HIV test - Ancillary,SCMS from RDC,SKU0022,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,100,4300,43,0.01,0,Inverness Japan,See DN-597 (ID#:10671),See DN-597 (ID#:10671),0.07
10945,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,21-Apr-08,21-Apr-08,ARV,Adult,SCMS from RDC,SKU0098,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Generic,30,1600,3200,2,0.07,"Cipla, Goa, India",2519,15252.7,5.12
10946,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,21-Apr-08,21-Apr-08,ARV,Adult,SCMS from RDC,SKU0044,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,60,37240,275576,7.4,0.12,"Cipla, Goa, India",See DN-709 (ID#:10945),See DN-709 (ID#:10945),440.92
10947,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,9-Jul-08,9-Jul-08,ARV,Adult,SCMS from RDC,SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,60,11181,32536.71,2.91,0.05,"Aurobindo Unit III, India",566,3594.6,52.06
10948,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,29-Jul-08,29-Jul-08,ARV,Adult,SCMS from RDC,SKU0098,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Generic,30,12000,24000,2,0.07,"Cipla, Goa, India",700,954.13,38.4
10949,Tanzania,PMO - US,From RDC,N/A - From RDC,,30-Apr-08,30-Apr-08,ARV,Adult,SCMS from RDC,SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,120,2580,106038,41.1,0.34,ABBVIE Ludwigshafen Germany,559,3562.4,169.66
10950,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,29-Jul-08,29-Jul-08,ARV,Adult,SCMS from RDC,SKU0007,"Nevirapine 200mg, tablets, 60 Tabs",Generic,60,50288,170979.2,3.4,0.06,"Aurobindo Unit III, India",See DN-826 (ID#:10674),See DN-826 (ID#:10674),273.57
10951,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2-Jun-08,2-Jun-08,ARV,Adult,SCMS from RDC,SKU0059,"Stavudine 20mg, capsules, 60 Caps",Generic,60,1080,1890,1.75,0.03,"Aurobindo Unit III, India",4668,8787.28,3.02
10953,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,19-Jun-08,19-Jun-08,ARV,Adult,SCMS from RDC,SKU0094,"Indinavir 400mg [Crixivan], capsules, 180 Caps",Crixivan,180,20,1000,50,0.28,"MSD, Haarlem, NL",1024,5226.6,1.6
10954,Haiti,PMO - US,From RDC,N/A - From RDC,Air,27-May-08,27-May-08,ARV,Adult,SCMS from RDC,SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,60,7380,21475.8,2.91,0.05,"Aurobindo Unit III, India",See DN-743 (ID#:10683),See DN-743 (ID#:10683),34.36
10955,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,8-Apr-08,16-May-08,ARV,Adult,SCMS from RDC,SKU0044,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Generic,60,73012,540288.8,7.4,0.12,"Cipla, Goa, India",14083,11053.53,864.46
10956,Zambia,PMO - US,From RDC,N/A - From RDC,,28-Mar-08,28-Mar-08,ARV,Adult,SCMS from RDC,SKU0053,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Truvada,30,27156,712845,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",9344,35246.5,1140.55
10957,Zambia,PMO - US,From RDC,N/A - From RDC,Air,28-Mar-08,28-Mar-08,ARV,Adult,SCMS from RDC,SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,4332,53803.44,12.42,0.41,Mylan (formerly Matrix) Nashik,338,1890.76,86.09
10958,Zambia,PMO - US,From RDC,N/A - From RDC,,9-May-08,9-May-08,ARV,Adult,SCMS from RDC,SKU0011,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,60,50000,472500,9.45,0.16,"Aurobindo Unit III, India",4657,2348.92,756
10959,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,9-Jun-08,9-Jun-08,ARV,Adult,SCMS from RDC,SKU0098,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Generic,30,1600,3200,2,0.07,"Cipla, Goa, India",422,3335.15,5.12
10960,Tanzania,PMO - US,From RDC,N/A - From RDC,,22-Apr-08,23-Apr-08,ARV,Adult,SCMS from RDC,SKU0011,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,60,51364,487958,9.5,0.16,"Aurobindo Unit III, India",5372,16430.72,780.73
